k,Algorithm,Run,SSE,Silhouette
2,K-Means,0,224.24744981994712,0.7747927243590461
2,K-Means,1,224.24744981994712,0.7747927243590461
2,K-Means,2,224.24744981994712,0.7747927243590461
2,GA,0,224.459660750267,0.7747927243590461
2,GA,1,224.35203321334575,0.7747927243590461
2,GA,2,224.34517853631945,0.7747927243590461
2,PSO,0,224.24746943180392,0.7747927243590461
2,PSO,1,224.2474554809839,0.7747927243590461
2,PSO,2,224.24745647714403,0.7747927243590461
2,DE,0,231.31725070895865,0.7747927243590461
2,DE,1,254.60321115030217,0.7747927243590461
2,DE,2,230.53506320664434,0.7747927243590461
2,ABC,0,224.26551802714016,0.7747927243590461
2,ABC,1,224.28878649332836,0.7747927243590461
2,ABC,2,224.26995171274635,0.7747927243590461
2,ES,0,239.3228650938573,0.7747927243590461
2,ES,1,249.47840301809987,0.7747927243590461
2,ES,2,238.87526558494142,0.7747927243590461
3,K-Means,0,140.12661692287887,0.7755804032158978
3,K-Means,1,140.12661692287887,0.7755804032158978
3,K-Means,2,140.12661692287887,0.7755804032158978
3,GA,0,140.46669888557466,0.7755804032158978
3,GA,1,142.0912326919916,0.7755804032158978
3,GA,2,140.58600380699954,0.7755804032158978
3,PSO,0,140.142064882669,0.7755804032158978
3,PSO,1,185.5857444812509,0.7755804032158978
3,PSO,2,140.14997246212226,0.7755804032158978
3,DE,0,205.60398963277675,0.7755804032158978
3,DE,1,185.62181367041197,0.7755804032158978
3,DE,2,189.77666177823176,0.7755804032158978
3,ABC,0,143.34557003367814,0.7755804032158978
3,ABC,1,140.4903333280334,0.7755804032158978
3,ABC,2,140.59209437574657,0.7755804032158978
3,ES,0,170.49000836828472,0.7755804032158978
3,ES,1,185.56016600806544,0.7755804032158978
3,ES,2,179.08744464154603,0.7755804032158978
4,K-Means,0,79.29450610913834,0.8041964077943253
4,K-Means,1,79.29450610913834,0.8041964077943253
4,K-Means,2,79.29450610913834,0.8041964077943253
4,GA,0,80.4981802928551,0.8041964077943253
4,GA,1,81.57527585427053,0.8041964077943253
4,GA,2,80.93372329983451,0.8041964077943253
4,PSO,0,81.02287846325015,0.8041964077943253
4,PSO,1,118.60162529087623,0.8041964077943253
4,PSO,2,80.74370530193158,0.8041964077943253
4,DE,0,314.9957175331306,0.8041964077943253
4,DE,1,307.1055956905726,0.8041964077943253
4,DE,2,185.4401231300983,0.8041964077943253
4,ABC,0,82.80170112889493,0.8041964077943253
4,ABC,1,82.28223413836632,0.8041964077943253
4,ABC,2,82.6820165501055,0.8041964077943253
4,ES,0,157.4697591292957,0.8041964077943253
4,ES,1,144.98492614562502,0.8041964077943253
4,ES,2,146.12809151458254,0.8041964077943253
5,K-Means,0,87.28520765670424,0.7652557268338619
5,K-Means,1,87.28520765670424,0.7652557268338619
5,K-Means,2,87.28520765670424,0.7652557268338619
5,GA,0,93.30234584186425,0.7652557268338619
5,GA,1,93.96147998806146,0.7652557268338619
5,GA,2,92.35850457670873,0.7652557268338619
5,PSO,0,119.83352592759314,0.7652557268338619
5,PSO,1,90.92417941280966,0.7652557268338619
5,PSO,2,299.1244035456564,-1.0
5,DE,0,535.5344228870401,0.7585768655444671
5,DE,1,561.2987354394261,0.47120948533312584
5,DE,2,443.62608944909846,0.7652557268338619
5,ABC,0,94.66780618899014,0.7652557268338619
5,ABC,1,91.11035428039892,0.7652557268338619
5,ABC,2,103.44180848997527,0.7652557268338619
5,ES,0,193.517920886745,0.7652557268338619
5,ES,1,194.8711748506204,0.7652557268338619
5,ES,2,201.59734261843772,0.7626358201340004
6,K-Means,0,95.9482690156619,0.6826374847446912
6,K-Means,1,95.9482690156619,0.6826374847446912
6,K-Means,2,95.9482690156619,0.6826374847446912
6,GA,0,167.00853956201706,0.5993392260677176
6,GA,1,400.9516291376277,-1.0
6,GA,2,169.73356025750203,-1.0
6,PSO,0,287.78776884745616,-1.0
6,PSO,1,459.1772824750924,-1.0
6,PSO,2,215.0382964878607,-1.0
6,DE,0,619.3934553352299,0.5786052111566516
6,DE,1,579.8683982572351,-1.0
6,DE,2,569.6161376506802,-1.0
6,ABC,0,182.68868998009646,-1.0
6,ABC,1,134.56478817604295,0.6823689221214285
6,ABC,2,145.53347731352,0.6801869034198702
6,ES,0,271.7436038746333,-1.0
6,ES,1,280.50388612604274,0.5989070259332943
6,ES,2,224.34013371453023,0.6793974163266874
7,K-Means,0,106.1672592228761,0.6569743900144545
7,K-Means,1,106.1672592228761,0.6569743900144545
7,K-Means,2,106.1672592228761,0.6569743900144545
7,GA,0,130.63561775474753,0.6564818408296816
7,GA,1,187.78048314500847,-1.0
7,GA,2,185.12967779393307,0.5794995369765172
7,PSO,0,256.4635143628591,-1.0
7,PSO,1,288.90512567446797,-1.0
7,PSO,2,253.63759995605145,-1.0
7,DE,0,756.6671041819714,-1.0
7,DE,1,585.8032406223269,-1.0
7,DE,2,798.6630246950677,-1.0
7,ABC,0,213.75644079276583,0.6411742834271522
7,ABC,1,132.76464478082693,0.6569743900144545
7,ABC,2,202.99574230222058,0.5847311477497539
7,ES,0,301.2378254007943,0.6259761081614682
7,ES,1,324.956746136681,0.5684776363136614
7,ES,2,368.2091063274755,-1.0
8,K-Means,0,104.36879710868965,0.64536917538277
8,K-Means,1,104.36879710868965,0.64536917538277
8,K-Means,2,104.36879710868965,0.64536917538277
8,GA,0,141.87409911000123,0.64536917538277
8,GA,1,176.58932491219346,0.5455653497585075
8,GA,2,126.57345426609386,0.64536917538277
8,PSO,0,263.2124219249583,-1.0
8,PSO,1,208.28452698625722,-1.0
8,PSO,2,321.4071671126028,-1.0
8,DE,0,776.6488615342527,0.3081641170082424
8,DE,1,686.7716696096426,0.5096943490208161
8,DE,2,709.4446461784669,-1.0
8,ABC,0,187.5366408962255,0.6434687751829717
8,ABC,1,227.74273525917204,0.6434687751829717
8,ABC,2,239.23883082989002,0.6364064830709671
8,ES,0,319.15912408155646,0.5160926359940519
8,ES,1,355.7650067632791,0.5972543838780989
8,ES,2,272.59128908770083,0.5653385235189747
