Algorithm,Group,Config,Mean_SSE,Std_SSE,Min_SSE,Mean_Silhouette,Std_Silhouette
ABC,Iter,iter=100,85.10917565080742,5.136526570246219,81.56955524017597,0.8041964077943253,0.0
ABC,Iter,iter=200,80.11278346426651,0.4484170246700331,79.54122378965975,0.8041964077943253,0.0
ABC,Iter,iter=50,136.01026847800478,50.50531013094816,82.35055625032405,0.8041964077943253,0.0
ABC,PopSize,pop=100,81.32439726954031,0.8530739658136469,79.61674459038103,0.8041964077943253,0.0
ABC,PopSize,pop=20,92.00959382878585,8.813649751450866,81.87429872592205,0.8041964077943253,0.0
ABC,PopSize,pop=50,85.10917565080742,5.136526570246219,81.56955524017597,0.8041964077943253,0.0
DE,Iter,iter=100,282.1297621701484,75.03365287995481,146.11363376962012,0.8041964077943253,0.0
DE,Iter,iter=200,167.26193425767536,46.18059849537445,109.12821704015326,0.8041964077943253,0.0
DE,Iter,iter=50,477.03562442121864,94.69801225234747,347.75404720144553,0.8041964077943253,0.0
DE,PopSize,pop=100,304.7604040629142,45.2726769945204,244.6414547561873,0.8041964077943253,0.0
DE,PopSize,pop=20,177.46093066518839,67.9524475467989,111.08903896330617,0.8041964077943253,0.0
DE,PopSize,pop=50,282.1297621701484,75.03365287995481,146.11363376962012,0.8041964077943253,0.0
DE,Specific,"F=0.5,CR=0.5",252.20619182045834,76.92506873542563,117.02734829636249,0.8041964077943253,0.0
DE,Specific,"F=0.9,CR=0.9",339.066394480314,77.33070096269496,218.6107096125339,0.8041964077943253,0.0
ES,Iter,iter=100,150.4666132025886,10.115010306943894,134.67132801213756,0.8041964077943253,0.0
ES,Iter,iter=200,141.94618347791425,8.742792798164194,128.92815582883253,0.8041964077943253,0.0
ES,Iter,iter=50,154.66801567598398,14.559719167115393,134.67132801213756,0.8041964077943253,0.0
ES,PopSize,pop=100,136.73749782014775,10.994477494304446,121.25104007202009,0.8041964077943253,0.0
ES,PopSize,pop=20,158.12994954651606,14.258228175691434,140.44154225230687,0.8041964077943253,0.0
ES,PopSize,pop=50,150.4666132025886,10.115010306943894,134.67132801213756,0.8041964077943253,0.0
GA,Iter,iter=100,81.65782109602495,0.5505763745477971,80.76231746310222,0.8041964077943253,0.0
GA,Iter,iter=200,80.01213613386258,0.22601843695944354,79.74199207731614,0.8041964077943253,0.0
GA,Iter,iter=50,87.18264639205424,3.5758445020758267,83.24748406789371,0.8041964077943253,0.0
GA,PopSize,pop=100,81.08112532059062,0.4539666297581678,80.31644930572753,0.8041964077943253,0.0
GA,PopSize,pop=20,119.00577520218368,114.36038774064141,80.42790643863171,0.7749717092117994,0.09241661145267636
GA,PopSize,pop=50,81.65782109602495,0.5505763745477971,80.76231746310222,0.8041964077943253,0.0
GA,Specific,mut=0.01,117.78782365660823,115.2826061153412,79.9840031663602,0.6237767670148928,0.5705369994924034
GA,Specific,mut=0.2,91.42422674594407,2.7708023916262,86.6172081031126,0.8041964077943253,0.0
K-Means,Baseline,default,79.29450610913834,0.0,79.29450610913834,0.8041964077943253,0.0
PSO,Iter,iter=100,142.1599506989406,116.25996698114665,80.54754818253733,0.6237767670148928,0.5705369994924034
PSO,Iter,iter=200,141.76411006095896,116.44118391770093,80.1226855266064,0.6237767670148928,0.5705369994924034
PSO,Iter,iter=50,146.27440483472787,114.96231542202568,82.6926599641807,0.6237767670148928,0.5705369994924034
PSO,PopSize,pop=100,163.56527028506002,150.10109294881516,79.2960953981028,0.44335712623546025,0.7607159993232046
PSO,PopSize,pop=20,259.0484844214998,160.99505652174886,101.61814825911455,0.5677812587973625,0.5630906795599976
PSO,PopSize,pop=50,142.1599506989406,116.25996698114665,80.54754818253733,0.6237767670148928,0.5705369994924034
PSO,Specific,"c1=1.0,c2=2.0",190.6077545270194,140.77380417714022,81.11034659603096,0.44335712623546025,0.7607159993232047
PSO,Specific,"c1=2.0,c2=1.0",230.19533336809096,185.4210224105372,79.3115512583727,0.0825178446765952,0.9316830187566224
PSO,Specific,w=0.5,161.85085702415859,108.65191521840872,87.07717334799463,0.6237767670148928,0.5705369994924034
PSO,Specific,w=0.9,207.89759827686356,135.40277094365285,92.01084569890008,0.44335712623546025,0.7607159993232046
